frames,dst_entropy,src_entropy,proto_entropy,bps_in,bps_out,flows,attack
968,0,0,1.130581557,21421.15664,2774.954991,3074.978144,0
504,0.688986919,0.688986919,0.089599339,13350.39941,1206.4,5659.950328,0
48,0,0,1.238200079,13188.32906,1172.8,2702.337938,0
653,0,0,1.283984762,13732.87672,1302.4,1226.910515,0
18,0.846475539,0.846475539,1.53735813,16116.91988,1867.386739,4062.347466,0
559,0,0,1.883362112,12868.45455,1172.8,310.8263077,0
10,0,6.34385619,0.595458096,360709.4301,72908.70583,33624.54326,1
1568,0.203905876,6.355068772,0.854067641,10814.23907,2455.766361,1729.644654,1
21794,0,6.476307315,0,885.4619144,269.5089456,0.014841151,1
1278,0.934815765,0.934815765,1.576988563,15849.54419,1672,1638.857889,0
624,0,0,1.090031417,18251.91673,2120,2965.207652,0
1167,0,0,1.724641196,13525.19165,1336,4482.382801,0
18163,1,1,0,6007.845392,1466.037529,23.31646361,1
134,0,0,0.030497216,16286.71207,1956.8,4256.788129,0
70,0.345752087,5.866008855,0.571472518,74109.08345,70929.72363,82059.22944,1
803,0.917117515,0.917117515,0,15164.605,1956.9957,3984.754089,0
19038,0,6.58385619,0,2471.049325,1318.410635,1.571364163,1
130,0,0,0.285251767,28219.00124,2937.6,4137.50632,0
571,0,0,1.22984235,15790.41702,2086.4,3520.55271,0
338,0,0,0.658002681,21556.17278,2808.280828,3522.207273,0
969,0.798682526,0.798682526,0.553379068,18830.67432,2120,3806.392615,0
760,0,0,1.313382095,21796.56025,2774.122588,2519.012665,0
256,0,0,0.453155379,13093.47378,1172.8,5519.677828,0
500,0.827329381,0,0.056468472,20705.02448,2807.719228,3910.501263,0
235,0.766279063,0.799796667,0.218251732,22112.46981,2729.6,5724.234715,0
121,1.567775239,1.567775239,0.219294419,15110.15315,1956.8,8522.187274,0
143,0,0,0.227348704,23678.78554,2774.677468,2222.877851,0
584,0,6.512669028,0,1772.910491,40.47705096,1677.829512,1
476,0,0,1.110951401,19738.57164,2120.212021,1843.818906,0
10151,0,6.40385619,0,1117.254257,756.302521,1862.645992,1
118,0,0,1.513032117,13175.66119,1302.269773,1097.835006,0
15741,0,6.48385619,0,1320.992728,1318.410635,88.55892312,1
1783,0,0,0.83044322,13379.27611,1335.866413,1978.734425,0
657,0,6.64385619,0.778395938,2314.109305,50323.68949,1734.247224,1
1007,0,6.28875844,0,1163.408957,0,732.879374,1
340,0.850417625,0.85041902,0.703729095,15317.28261,2024,4516.614258,0
569,0,6.512669028,0,1471.471948,111.1969112,3095.90039,1
785,0,0,0.604882507,10535.70004,1302.4,2617.399575,0
702,0,0,1.09221118,24281.13327,2903.419316,636.5738307,0
2772,0,6.50385619,0.152544453,82428.46346,166211.8329,2370.186097,1
1561,0,6.42875844,0.563275302,373966.4681,72908.70583,42033.72739,1
2025,0.082143051,6.109508058,1.587215364,32091.9177,3092.8,10635.79106,1
292,0,6.548548539,1.137133304,4103.638451,451.2517165,1860.137374,1
8244,0,6.296307315,0,1117.254257,756.302521,9522.745399,1
8043,0,6.28875844,0,902.6607734,0,124.683865,1
398,0.962652217,0.962652216,1.146483109,15463.86769,2086.4,6553.885854,0
8651,0,6.296307315,0,1117.254257,756.302521,2769.937083,1
1482,0,6.36385619,0.741273228,119733.5818,36487.6083,13733.30008,1
578,0,0,1.644710875,12826.16664,1302.530253,658.7867988,0
2021,0,6.62935662,0.941132478,2977.329567,40207.10059,3254.814861,1
4711,0,6.523561956,0.847083532,4015.329757,518.3481652,1018.050993,1
4051,0,6.512669028,0,3204.888818,1343.865613,1162.047558,1
17347,0,6.20875844,0,4115.111529,2106.989301,4.253866486,1
100,0,6.296307315,0.618536625,341894.299,78264.09568,94118.47253,1
2199,0,0,1.122205755,22466.44968,2971.2,1555.897676,0
14832,0,6.34385619,0.057313134,8814.66421,2736.995271,1159.199547,1
284,0.999818134,0.999821031,0.946727865,18637.70306,2427.2,6056.33751,0
254,0,0,0.990290194,13503.21288,1388.8,1086.883376,0
